,Time,KeyPressed
0,1696252270.4,Key.space
1,1696252270.7,'m'
2,1696252270.8,'e'
3,1696252271.0,Key.space
4,1696252271.5,'l'
5,1696252271.6,'l'
6,1696252271.7,'a'
7,1696252271.8,'m'
8,1696252272.1,'o'
9,1696252272.3,Key.space
10,1696252272.5,'d'
11,1696252272.7,'a'
12,1696252272.8,'n'
13,1696252273.0,'i'
14,1696252273.1,'e'
15,1696252273.3,'l'
16,1696252273.5,Key.space
17,1696252273.6,'m'
18,1696252273.7,'a'
19,1696252273.9,'r'
20,1696252274.1,'i'
21,1696252274.3,'n'
22,1696252274.4,Key.space
23,1696252274.5,'b'
24,1696252274.6,'a'
25,1696252274.8,'r'
26,1696252275.1,'t'
27,1696252275.2,'o'
28,1696252275.4,'l'
29,1696252275.5,'o'
30,1696252275.7,'m'
31,1696252275.8,'e'
32,1696252276.0,Key.space
33,1696252276.2,'y'
34,1696252276.4,Key.space
35,1696252276.5,'e'
36,1696252276.7,'s'
37,1696252276.9,'t'
38,1696252277.1,'e'
39,1696252277.3,Key.space
40,1696252277.4,'e'
41,1696252277.6,'s'
42,1696252277.7,Key.space
43,1696252277.9,'m'
44,1696252278.1,'i'
45,1696252278.2,Key.space
46,1696252278.5,'t'
47,1696252279.1,'f'
48,1696252279.2,'g'
49,1696252279.5,Key.space
50,1696252280.1,'a'
51,1696252280.2,'h'
52,1696252280.6,'o'
53,1696252280.8,'r'
54,1696252281.0,'a'
55,1696252281.2,Key.space
56,1696252281.3,'e'
57,1696252281.5,'s'
58,1696252281.9,'t'
59,1696252282.1,'o'
60,1696252282.4,'y'
61,1696252282.6,Key.space
62,1696252282.9,'r'
63,1696252283.0,'e'
64,1696252283.3,'a'
65,1696252283.5,'l'
66,1696252283.7,'i'
67,1696252284.1,'z'
68,1696252284.2,'a'
69,1696252284.7,'n'
70,1696252285.0,'d'
71,1696252285.1,'o'
72,1696252285.3,Key.space
73,1696252285.8,'u'
74,1696252286.0,'n'
75,1696252286.2,'a'
76,1696252286.4,Key.space
77,1696252286.6,'p'
78,1696252286.9,'r'
79,1696252287.1,'u'
80,1696252287.3,'e'
81,1696252287.7,'n'
82,1696252287.9,'b'
83,1696252288.1,'a'
84,1696252288.4,Key.space
85,1696252288.9,'p'
86,1696252289.0,'a'
87,1696252289.2,'r'
88,1696252289.4,'a'
89,1696252289.5,Key.space
90,1696252289.7,'d'
91,1696252289.8,'e'
92,1696252290.1,'t'
93,1696252290.3,'e'
94,1696252290.5,'r'
95,1696252290.8,'m'
96,1696252291.0,'i'
97,1696252291.2,'n'
98,1696252291.4,'a'
99,1696252291.6,'r'
100,1696252291.8,Key.space
101,1696252292.0,'s'
102,1696252292.2,'i'
103,1696252292.4,Key.space
104,1696252292.7,'f'
105,1696252292.8,'u'
106,1696252293.0,'n'
107,1696252293.2,'c'
108,1696252293.4,'i'
109,1696252293.5,'o'
110,1696252293.7,'n'
111,1696252293.9,'a'
112,1696252294.0,Key.space
113,1696252294.6,'b'
114,1696252294.8,'i'
115,1696252295.0,'e'
116,1696252295.1,'n'
117,1696252295.3,Key.space
118,1696252295.5,'l'
119,1696252295.6,'a'
120,1696252295.8,'s'
121,1696252296.0,Key.space
122,1696252296.6,'f'
123,1696252296.9,'u'
124,1696252297.1,'n'
125,1696252297.3,'c'
126,1696252297.5,'i'
127,1696252297.6,'o'
128,1696252297.8,'n'
129,1696252298.0,'a'
130,1696252298.3,'l'
131,1696252298.5,'i'
132,1696252298.7,'d'
133,1696252298.8,'a'
134,1696252299.1,'d'
135,1696252299.3,'e'
136,1696252299.6,'s'
137,1696252299.7,Key.space
138,1696252300.0,'t'
139,1696252300.1,'o'
140,1696252300.5,'n'
141,1696252300.7,'t'
142,1696252301.0,'o'
143,1696252301.4,'r'
144,1696252301.5,'r'
145,1696252301.7,'o'
146,1696252302.0,'n'
147,1696252302.1,'a'
148,1696252302.3,'s'
149,1696252302.5,Key.space
150,1696252302.6,'q'
151,1696252302.8,'u'
152,1696252302.9,'e'
153,1696252303.0,Key.space
154,1696252303.2,'h'
155,1696252303.4,'e'
156,1696252303.5,Key.space
157,1696252303.8,'i'
158,1696252304.1,'m'
159,1696252304.4,'p'
160,1696252304.5,'l'
161,1696252304.7,'e'
162,1696252304.9,'m'
163,1696252305.1,'e'
164,1696252305.3,'n'
165,1696252305.5,'t'
166,1696252305.8,'a'
167,1696252306.0,'d'
168,1696252306.1,'o'
169,1696252306.3,Key.space
170,1696252306.5,'p'
171,1696252307.1,'a'
172,1696252307.3,'r'
173,1696252307.5,'a'
174,1696252307.7,Key.space
