,Time,KeyPressed
0,1696096197.1,'h'
1,1696096197.4,'o'
2,1696096197.6,'l'
3,1696096197.7,'a'
4,1696096197.9,Key.space
5,1696096198.1,'e'
6,1696096198.3,'s'
7,1696096198.6,'t'
8,1696096198.9,'a'
9,1696096199.0,Key.space
10,1696096199.6,'e'
11,1696096199.8,'s'
12,1696096200.0,Key.space
13,1696096200.1,'u'
14,1696096200.3,'n'
15,1696096200.4,'a'
16,1696096200.5,Key.space
17,1696096200.8,'p'
18,1696096201.0,'r'
19,1696096201.2,'u'
20,1696096201.3,'e'
21,1696096201.6,'b'
22,1696096201.8,'a'
23,1696096202.0,Key.space
24,1696096202.3,'p'
25,1696096202.4,'a'
26,1696096202.6,'r'
27,1696096202.8,'a'
28,1696096202.9,Key.space
29,1696096203.2,'v'
30,1696096203.5,'e'
31,1696096203.6,'r'
32,1696096203.8,Key.space
33,1696096204.0,'s'
34,1696096204.1,'i'
35,1696096204.3,Key.space
36,1696096204.8,'a'
37,1696096205.1,'l'
38,1696096205.5,'g'
39,1696096205.7,'u'
40,1696096205.8,'n'
41,1696096205.9,'a'
42,1696096206.1,Key.space
43,1696096206.3,'t'
44,1696096206.5,'e'
45,1696096206.7,'c'
46,1696096207.0,'l'
47,1696096207.1,'a'
48,1696096207.3,Key.space
49,1696096207.5,'c'
50,1696096208.0,Key.backspace
51,1696096208.2,'n'
52,1696096208.4,'o'
53,1696096208.7,Key.space
54,1696096209.0,'s'
55,1696096209.2,'e'
56,1696096209.4,Key.space
57,1696096209.5,'q'
58,1696096209.7,'u'
59,1696096209.8,'e'
60,1696096210.1,'d'
61,1696096210.2,'a'
62,1696096210.4,Key.space
63,1696096210.7,'f'
64,1696096211.0,'u'
65,1696096211.1,'e'
66,1696096211.4,'r'
67,1696096211.7,'a'
68,1696096211.8,Key.space
69,1696096212.0,'d'
70,1696096212.1,'e'
71,1696096212.2,Key.space
72,1696096212.4,'l'
73,1696096212.5,'a'
74,1696096212.6,Key.space
75,1696096212.8,'l'
76,1696096213.0,'i'
77,1696096213.2,'s'
78,1696096213.4,'t'
79,1696096213.6,'a'
80,1696096213.9,Key.esc
81,1696096216.2,Key.esc
